,Unnamed: 0,Date,Height,LWC,LWC_SD,Velocity,Velocity_SD,Spectral_Width,Spectral_Width_SD,Reflectivity,Reflectivity_SD,Temperature,Extinction_low,Extinction,Extinction_high,CCN,"CDC_pinsky,k=0.3","Smax,k=0.3","CDC_pinsky,k=0.4","Smax,k=0.4","CDC_pinsky,k=0.5","Smax,k=0.5","CDC_pinsky,k=0.6","Smax,k=0.6","CDC_pinsky,k=0.7","Smax,k=0.7","CDC_pinsky,k=0.8","Smax,k=0.8","CDC_pinsky,k=0.9","Smax,k=0.9","CDC_pinsky,k=1.0","Smax,k=1.0",CDC_Fan,CDC_Lidar_gamma_0,CDC_Lidar_gamma_1,CDC_Lidar_gamma_2,CDC_Lidar_gamma_3,CDC_Lidar_gamma_4,CDC_Lidar_gamma_5,CDC_Lidar_gamma_6,CDC_Lidar_gamma_7,CDC_Lidar_exp_0.35
174,174,20110513,0.0,0.020972179248929024,0.003915106412023306,-0.16318805515766144,0.9354023933410645,0.11355342715978622,0.09055513888597487,-31.883529663085934,13.320149421691895,291.9651794433594,0.0,0.0,0.0,459.5,274.0164698535452,0.17849956866665612,237.36304132195175,0.19178690714172492,207.98816071966868,0.20488312862919653,184.11007403312954,0.21776432237356885,164.452141218353,0.23041234198611946,148.08266718597164,0.24281381387235992,134.31029082988914,0.2549593009775606,122.61417494147234,0.2668426005255112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,175,20110513,0.0,0.028716171160340313,0.01714613847434521,-0.05941495299339295,1.1527714729309082,0.1344657838344574,0.11721663177013394,-31.781360626220703,14.396238327026367,291.9651794433594,0.0,0.0,0.0,326.46,212.05049960244244,0.2373364338153649,188.0989340332776,0.251994403225273,168.460314058764,0.26627798351030957,152.15724140938923,0.2801803990217304,138.47203952648826,0.29369937206586594,126.86889626366752,0.30683611948007955,116.94169966561145,0.31959454767304,108.37838934158944,0.3319806081651335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,176,20110513,0.0,0.025670845061540604,0.015384426340460776,0.00495349895209074,1.148901343345642,0.12458594888448715,0.08374852687120438,-30.686248779296875,15.221551895141602,291.9651794433594,0.0,0.0,0.0,289.91,191.12296519224307,0.24936314261019965,170.2350162665701,0.26421912596273234,153.04038046412487,0.2786670893872374,138.7140078330225,0.29270392081841745,126.64746696465623,0.3063306453527445,116.38468234702364,0.31955144596853347,107.5786833567751,0.332372885557071,99.96192184912339,0.3448032901559912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,186,20110513,0.0,0.030783167108893394,0.027435721829533573,-0.10466711223125458,1.0618832111358645,0.1206360086798668,0.0917610004544258,-32.454776763916016,13.135926246643065,291.5582275390625,0.0,0.0,0.0,303.07,196.00489761844767,0.23392676472410337,173.65618244156084,0.2485239521389685,155.35302337477185,0.26275653206205624,140.17481141329162,0.2766166935735318,127.44641945833229,0.29010122103305525,116.6643918051571,0.3032104852365685,107.44755639320121,0.3159476318873601,99.50331507630793,0.3283179301029728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,187,20110513,0.0,0.03186967596411705,0.020394610241055492,-0.03893531113862991,1.0814497470855713,0.13100750744342804,0.09107283502817154,-31.412738800048828,12.16585922241211,291.5582275390625,0.0,0.0,0.0,287.38,187.82060137830132,0.2422640395372507,166.89140581613813,0.25700618873906844,149.7026401038928,0.2713600046797971,135.41166009496172,0.2853202110552072,123.39862610439914,0.29888588487343626,113.19999945921812,0.31205946199579143,104.46390165207781,0.32484594253335214,96.91955367557549,0.3372522572050091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,188,20110513,0.0,0.036976251751184464,0.023008629679679867,0.05059822276234627,1.16764235496521,0.13448579609394073,0.09729912132024764,-32.35555648803711,13.078064918518065,291.5582275390625,0.0,0.0,0.0,289.14,191.67474711924464,0.25401288137136974,170.98954002566506,0.2689387725239624,153.9365742800153,0.2834440087687468,139.70884944375888,0.29752689661814913,127.71028063170223,0.3111897335540582,117.49337466063352,0.32443784007677307,108.71721259691536,0.33727879367557134,101.11856816140451,0.3497218238963981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,189,20110513,0.0,0.03552912920713425,0.01961569488048553,-0.04325874894857407,1.0922929048538208,0.1337970495223999,0.0977022722363472,-31.56336975097656,14.566576957702635,291.5582275390625,0.0,0.0,0.0,379.48,239.64898610352296,0.21608386871861146,210.92470878525222,0.2303278298280391,187.54918075366834,0.24426011600611067,168.27783144271,0.25786754840880316,152.2042087274704,0.27114201169726876,138.65665527430946,0.2840794280051108,127.12966771036581,0.29667891961143605,117.23735842769956,0.3089421271943174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,190,20110513,0.0,0.03679497167468071,0.023310396820306774,-0.007260734681040049,0.9073687195777892,0.141439288854599,0.08580677211284637,-29.99579620361328,13.683731079101562,291.17071533203125,0.0,0.0,0.0,389.71,236.97784103235347,0.19049662916702753,206.39460762275854,0.204123022907833,181.75639733440383,0.2175185560555612,161.63219977378313,0.23066262107925206,144.99098865920072,0.24354020031646514,131.07643763432577,0.2561408519339809,119.32462209679825,0.2684578642091748,109.30880412550984,0.2804875526045261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,191,20110513,0.0,0.04775271937251091,0.0330638624727726,0.035931579768657684,1.0078194141387942,0.13653425872325894,0.08048778772354126,-29.991640090942386,13.7026948928833,291.17071533203125,0.0,0.0,0.0,373.04,232.87323281891048,0.20791248344547958,204.30372547635451,0.22197405156116964,181.12586093168642,0.23574914192332982,162.07177747411285,0.24922215929867386,146.22112140493257,0.26238276050153136,132.89403522532885,0.2752248272127598,121.58031232308385,0.2877456220539805,111.8915189886275,0.2999450970100459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,192,20110513,0.0,0.03651199117302895,0.02664355933666229,-0.024188539013266563,1.1241148710250854,0.15473726391792295,0.10840931534767152,-29.87685966491699,13.587424278259276,291.17071533203125,0.0,0.0,0.0,373.58,238.2019061282342,0.22312011012797128,210.21165531556127,0.2375105666527095,187.37490555384844,0.25156812818386304,168.50314572790762,0.26528172039787556,152.7283524001282,0.2786451565501662,139.40568604798716,0.29165611590256074,128.04866229248873,0.30431531478054447,118.28507958270866,0.31662583538387684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,193,20110513,0.0,0.03695164993405342,0.025776470080018044,-0.04538210108876228,0.9276543259620668,0.13458089530467987,0.10155108571052553,-29.50341796875,11.971306800842285,291.17071533203125,0.0,0.0,0.0,373.43,229.33554953164682,0.19688256212605962,200.2881790281657,0.21067610649371674,176.82535585313482,0.22421810213440743,157.61448632219944,0.23748975372521752,141.69274153550595,0.25047774279747304,128.35197093106493,0.263173206306942,117.06288120185518,0.27557088953504294,107.42402768502403,0.2876684457194764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,194,20110513,0.0,0.02172275073826313,0.012388202361762524,-0.17387138307094574,0.8673533797264099,0.1182856783270836,0.07913544028997421,-28.80045509338379,11.391180038452148,291.17071533203125,0.0,0.0,0.0,403.86,242.29491824425335,0.1821286277844819,210.23700298565427,0.19552207151521647,184.5035896404595,0.20871225878693722,163.55444637803137,0.221676262536013,146.28409531330854,0.2343968727677484,131.88447299696625,0.24686159696879947,119.75507084150483,0.2590618200087079,109.4428698667607,0.27099210089328163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
