,Unnamed: 0,Date,Time(s),Height,LWC,LWC_sd,Mean_Doppler_Velocity,Mean_Doppler_Velocity_sd,Spectral_width,Spectral_width_sd,Reflectivity,Reflectivity_sd,Extinction,Temperature,CCN,T(K),"CDC_pinsky,k=0.3","Smax,k=0.3","CDC_pinsky,k=0.4","Smax,k=0.4","CDC_pinsky,k=0.5","Smax,k=0.5","CDC_pinsky,k=0.6","Smax,k=0.6","CDC_pinsky,k=0.7","Smax,k=0.7","CDC_pinsky,k=0.8","Smax,k=0.8","CDC_pinsky,k=0.9","Smax,k=0.9","CDC_pinsky,k=1.0","Smax,k=1.0",CDC_Fan
0,0,20110513,30300.0,749.9999389648438,0.40558302,0.10038217,-0.1885923,0.28461295,0.23971401,0.0657466,-11.76609,2.9258811000000002,50.815696716308594,7.211659431457519,89.78500366210938,280.37165943145754,108.56310606546555,1.883337636116375,114.44397726431873,1.8343104670318588,120.13533671090877,1.7903334686894923,125.63979703247102,1.7506756950391402,130.96114496128925,1.7147392299272632,136.10400279220156,1.6820304999258324,141.07356694889137,1.6521386524026391,145.8754067813577,1.62471906032699,99.7112445358001
1,1,20110513,30900.0,749.9999389648438,0.29317075,0.07951821,-0.37679636,0.31595215,0.22723453,0.059040300000000004,-11.933519,2.6271093,60.22162246704102,7.104259490966798,80.88800048828125,280.2642594909668,113.62021009683343,3.103880267824661,124.86699721947701,2.9607989631506286,136.1947546332641,2.8349967359014716,147.5611792352684,2.7236211336723635,158.9297520283826,2.6244007373930196,170.26913544068114,2.535506852239342,181.55259799894748,2.4554524024668583,192.75747824756456,2.383016975125879,317.6333482979487
2,2,20110513,31500.0,749.9999389648438,0.29343137,0.13903765,-0.36523390000000006,0.41909197,0.3019903,0.07191166,-12.658947,4.5779667,54.049720764160156,6.996635437011719,80.88800048828125,280.15663543701174,113.02674593260124,3.050167910816299,124.03422478596019,2.911679653223294,135.10549842540573,2.789830693013304,146.20029302176096,2.681885538371107,157.28400417838654,2.585663956066567,168.32708065848416,2.4994092010364812,179.30444295518905,2.4216915949167834,190.19494641214345,2.351336975373723,229.2330824049547
3,3,20110513,32100.0,749.9999389648438,0.2741861,0.06451714,-0.30939215,0.26500255,0.29890385,0.06948746,-18.631329,3.6210434,63.95268249511719,6.908647537231445,80.88800048828125,280.06864753723147,109.49357552767243,2.743774779623965,119.10162206794641,2.6307764205287576,128.6839524463276,2.5309326186096746,138.21207107648408,2.4421356945674817,147.66231167226175,2.362696550575212,157.01518647409065,2.291247209951304,166.25480562740663,2.2266690623873546,175.36836482032987,2.168039310672992,434.9060423549366
4,4,20110513,32700.0,749.9999389648438,0.26691353,0.06174135,0.021050548,0.30929850000000003,0.38283873,0.08363433,-22.65673,2.0350639999999998,74.40501403808594,6.896318435668945,80.88800048828125,280.05631843566897,64.72282136743718,0.47560287210019053,60.83606935041455,0.4905605450862713,57.46673928348751,0.5047367315723448,54.5224540150948,0.5181857806007367,51.930938589538314,0.5309579194735611,49.63495219567496,0.5430994774371884,47.5886546820167,0.5546531388988707,45.7549613251305,0.5656582070137748,722.7289375848345
5,5,20110513,33300.0,749.9999389648438,0.29885197,0.06587263,0.15138455,0.29147592,0.28145236,0.08613613,-23.624493,1.7846378,72.75480651855469,6.951780319213867,88.0,280.1117803192139,102.40644848137951,1.6576090487002113,106.81136877579736,1.6230691420078533,111.03104880821476,1.5919284348466127,115.07395036825564,1.5637137324195085,118.94851945021293,1.5380350791266144,122.6630536953774,1.514568343033459,126.22561279490964,1.4930419743541605,129.6439602245383,1.4732268207333898,538.9926430143713
6,6,20110513,33900.0,749.9999389648438,0.36970484,0.086575136,-0.14428182,0.36219504,0.28434253,0.0980069,-20.439093,2.9602807,59.00646209716797,7.025043487548827,90.48833465576172,280.18504348754885,103.87702055825454,1.5840040826425512,107.93588146828701,1.5539359624071254,111.80995996999957,1.52677764668279,115.50933709069433,1.5021299079274393,119.04373252297401,1.4796628537775858,122.4224365801462,1.4591015854526732,125.65427318475594,1.4402152580857126,128.74758445556478,1.4228086409739997,187.88775133227335
7,7,20110513,34500.0,749.9999389648438,0.2692387,0.056428697,-0.22386368,0.44712093,0.36459250000000004,0.10102102,-24.467354,2.1982162,53.89792251586914,7.104496479034424,93.01399993896484,280.26449647903445,115.8683424061224,2.079959650861625,123.15991199697869,2.017449266803492,130.2727496049151,1.9616002913937964,137.20251775335012,1.9114206196049244,143.94722133854575,1.866103228402293,150.50669995406372,1.8249853834871979,156.88221859612509,1.787518091485369,163.0761383561281,1.7532429361508761,269.9921394575124
8,8,20110513,35100.0,749.9999389648438,0.3373552,0.08539092,-0.40034878,0.41921446,0.4013684,0.08907463,-20.969551,3.117482,63.6871109008789,7.1860084533691415,93.01399993896484,280.34600845336917,129.74052117128429,3.032199165330321,142.30564076635966,2.8952394340633005,154.9376176857449,2.774706847631514,167.590924811899,2.667904589791564,180.22650775188595,2.5726825999119414,192.81107149987824,2.487307955241531,205.31640995803005,2.4103699925301965,217.71878864700673,2.3407098801242,283.7199270611578
9,9,20110513,35700.0,749.9999389648438,0.427125,0.06698321,-0.55047524,0.22206368,0.35190058,0.068476655,-15.586158,1.6410679,61.63391876220703,7.271393299102782,93.01399993896484,280.4313932991028,137.98723277501813,3.723647951270463,153.96415512734498,3.5251553069918424,170.29185785536947,3.351900553113521,186.89638155513668,3.19954056238876,203.71114556038196,3.064648508119201,220.6765915938982,2.9444889792918336,237.73973823159673,2.8368552518702126,254.8536895481558,2.739949789444483,160.4203184755435
10,10,20110513,36300.0,749.9999389648438,0.4024169,0.0907563,-0.21868072,0.28566122,0.26501444,0.11113039999999999,-20.619715,2.2053732999999998,64.60225677490234,7.393278121948242,93.01399993896484,280.55327812194827,115.07373656021072,2.032792178217462,122.08171746649084,1.9735847170493983,128.90539448274254,1.9206381119748193,135.54222031247127,1.8730259347643217,141.991721465666,1.8299936231540639,148.25502513583444,1.7909207867213703,154.33448107928837,1.7552929381601912,160.23336002481295,1.7226800280598302,208.1136947613308
11,11,20110513,36900.0,749.9999389648438,0.36497545,0.12301770599999999,-0.008746718,0.48819977,0.32786933,0.24336479999999996,-23.787857000000002,2.9298723,68.845947265625,7.553725242614746,85.2699966430664,280.71372524261477,56.76517336156949,0.2576038852159792,50.698448527423025,0.27258130000480835,45.691388296113516,0.2871284431282635,41.50953888994404,0.30124471648031204,37.979509267392196,0.3149333976857075,34.97098209452155,0.32820068161942484,32.38457020913135,0.34105492413819377,30.143459414534455,0.35350604668970076,306.2089266498609
12,12,20110513,37500.0,749.9999389648438,0.2766363,0.0652895,-0.18720001,0.6486002,0.5354885,0.2292178,-24.998839999999998,1.7908088,70.53347778320312,7.717957019805907,83.5133285522461,280.87795701980593,101.38324735365853,1.908540356127226,106.99364343743225,1.857827803501169,112.4290169639513,1.8123632187332146,117.69104846152145,1.7713840527084979,122.78264009168028,1.734267009585879,127.70758110055107,1.7004979272915686,132.47028769843325,1.6696490960391888,137.07560139762265,1.6413619690881789,573.1622417299586
13,13,20110513,38100.0,749.9999389648438,0.23154970000000002,0.0450714,0.15341088,0.18813452,0.22591132,0.12882449,-26.362303000000004,1.5746285,67.57642364501953,7.881490707397461,78.37001037597656,281.0414907073975,92.14880425853748,1.7157973764827446,96.38923586770146,1.6776315415008585,100.46256538894824,1.6432692158668762,104.37518119611649,1.6121751782163707,108.1337119226177,1.5839092526697154,111.74486136361998,1.558106254728631,115.21529009569905,1.5344607802968928,118.55153197743347,1.5127155324937167,719.4608711028249
14,14,20110513,38700.0,749.9999389648438,0.20002726,0.096243605,-0.37235084,0.35726017,0.42867935,0.112892576,-25.164360000000002,2.793159,56.583473205566406,8.04004955291748,78.37001037597656,281.2000495529175,109.47034767305303,3.0466458740142506,120.11990926545437,2.9084575401324653,130.83020253593386,2.786866845306415,141.56233674984898,2.6791458963972805,152.28290650383158,2.5831203874566797,162.96339384606821,2.497038252628084,173.57960461889255,2.4194735480789773,184.11114829154042,2.3492551220584965,565.9791680675452
